epoch,Mem,accuracy,loss,val_accuracy,val_loss
0,89594.37890625,0.628342,0.6291129790657043,0.6186947,0.6300334117055019
1,89747.89453125,0.6438889,0.6124447222881317,0.6221127,0.6281831765051573
2,89917.33203125,0.65008485,0.6053134537128448,0.6261089,0.627512154143488
3,80335.0234375,0.6543282,0.6004072919670105,0.6232325,0.6293771844550851
4,88920.546875,0.65760225,0.596555900515747,0.62732196,0.6262058471487106
5,89650.09765625,0.6603875,0.593271683531189,0.62936974,0.6254755091413265
6,89496.2421875,0.6628275,0.5904042243164063,0.6276081,0.6260650492832656
7,85971.69921875,0.66502327,0.5878195342140198,0.63070685,0.6244391928674451
8,89880.1484375,0.6670958,0.5853758474739075,0.6308346,0.6257193621466782
9,89990.4375,0.66908056,0.5831615785324097,0.6316576,0.6267115363241689
10,29733.83203125,0.6709204,0.5810384089500428,0.62950593,0.6268466480938827
